Hour,Month,Day,DayOfWeek,Quarter,WeekOfYear,Zone_encoded,Renewable_energy_percentage_RE%,Carbon-free_energy_percentage_CFE%,Carbon_Efficiency,Clean_Energy_Gap,Carbon_Intensity_MA_24h,RE_Percentage_MA_24h
8,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.1238606690518545,-0.2107321389855914,-0.3267083218486091,-0.5048525536946701,0.742226461418555,-0.6290040705353136
9,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.0977823990403414,-0.1803593846993736,-0.3115662464721371,-0.4766190209705472,0.7424638689694063,-0.6290040705353136
10,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.1156646413339505,-0.1940994402098053,-0.321167857814683,-0.4564522118818853,0.7424541124947145,-0.6287321079340504
11,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.1626055273546738,-0.2338732851084242,-0.3465720018092811,-0.4241853173400297,0.7429386840711099,-0.6291740471611028
12,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.3876237428825862,-0.4443130826629349,-0.4653229739338407,-0.3798183373449775,0.743032996659805,-0.629106056510787
13,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.8905618073903373,-0.9237687038953766,-0.7028259024765766,-0.3314179955321934,0.7447761534715388,-0.631179771345418
14,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.8622482570921233,-0.8912264671601429,-0.6899798121422274,-0.3031844628080683,0.7456347232444823,-0.63226762175047
15,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.8570326030898207,-0.8839948589967577,-0.687573216940942,-0.2910843773548724,0.7470461599166697,-0.6339673880083643
16,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.8406405476540124,-0.8637463561392791,-0.6801315402407114,-0.2668842064484807,0.748122624291079,-0.6352252150392058
17,2,7,1.4987605100473749,-1.350442535864218,-1.428895211084357,4,-0.8294641462205068,-0.84855997899617,-0.6749453932495962,-0.2426840355420883,0.7491698192414119,-0.6364150514197319
